song_id,title,lyrics,album
50,Maniac2,"The real self has been released (Yup, yup) Barely holding on (Yup, yup) After blinking once, back Again, back to cosplaying as what society Defines normal to be pow",MANIAC
51,Maniac3,"Mash up, mind blown put my mind on back up Prototype, on the inside I’m always a freaky monster Kindness is no longer trending, now rotten You can backbite me as much as you want, I'll ignore them anyway Poppin', If you think I'm just pure and innocent, you're wrong When a favor continues, people think it's their right, toxic This is what drives me crazy, warning",MANIAC
52,Maniac4,"Maniac Going crazy, like I have a loose screw maniac Spinning, going crazy Maniac walk like Frankenstein Maniac, maniac (Ha-ha) Maniac (Oh) Laugh like I have a loose screw maniac (You can't stop the smoke) Spinning, going crazy (Thick as fog) Maniac, a maniac group (We're maniacs) Maniac, maniac",MANIAC
53,Maniac5,"Like the seam of a torn doll (Ha) Eventually, you'll expose your real self In this not easy life It ain't ""live,"" it's ""holding on,"" yeah",MANIAC
54,Maniac6,"This street I'm walking on is a minefield Like a dormant volcano, never know when it'll all explode Never know when the calm winds will change Everyone lives hiding themselves like a sealed tornado Poppin', if you think I'm just pure and innocent, you're wrong When a favor continues, people think it's their right, toxic This is what drives me crazy, warning",MANIAC
55,Maniac7,"Eyes filled with lunatic All senses are tense Locked up while wrapped up in that pretty package As time goes by, it'll eventually be revealed The inner self that was hidden, yeah",MANIAC
56,Venom1,"Spider web Spider web It's tied up tightly Spider web (spider web) Spider web Got me, got me, got me",MANIAC
57,Venom2,"I got caught again pretending not to know on my way I knew I couldn't get out of it, but I got caught again I'm trapped in this sticky web Criminal, the deadly venom has already spread",MANIAC
58,Venom3,"No escape, I have lost all my senses Can't feel my fingers (Ah-ah-ah-ah) I got caught, you got me wrapped up Around your fingers I'm drunk off your touch that captivated me I want it more, I need it more This spreading venom, this addictive poison Any sense of feeling threatened has disappeared now",MANIAC
59,Venom4,"Yeah, spider You got me locked up, ayy I am caught alive, trap, trap Swallow it, ay Emergency, emergency, sirens are blaring You got me like Harley. Got me like Harley Rather than being afraid I feel like I got caught up in this dangerous game, everyone's silent",MANIAC
60,Venom5,"Every day feeling pressured, I'm nervous tomorrow You never know when you'll catch me, man. I'm serious, man Beside me, above me, behind me, you are all around me I'm twisted up in your spider web, uh (Okay) My body is trembling from your predatory threats I'm overwhelmed by your dark force, my mind skips a beat at the sight",MANIAC
61,Venom6,"A raging hurricane (Nodding) not a single move Why are you in such a hurry? I am wrapped up in front of you I can't run away. Where would I even go? I'm your prey, overwhelmed by your atmosphere around me",MANIAC
62,Venom7,"The more I move the more trapped I get The greatest twist is that your appearance is the trap Poison. Inject it into me Spreading more and more quickly, my body taking in your poison I am dazed by the spider web wrapped around Me from head to toe I can feel the chills and shivers Even if I try to run away, it's already",MANIAC
63,LonelySt1,"As I walk down the street, falling down, I'm falling down The street is desolated I blackout again at every free time spaced out The street is isolated Still astray, ayy-ayy-ayy Astray, ayy-ayy, ayy-ayy-ayy-ayy Astray, ayy-ayy-ayy Just stuff it all 'cause I'ma go on my way",MANIAC
64,LonelySt2,"A night where I briefly close my eyes I can't see anything anyway What was I expecting? It's the same even when I open my eyes (Astray) This isolated road without a single light The streetlight broke a long time ago The shoe soles that are all worn out are left behind Footprints won't last long, they'll be erased",MANIAC
65,LonelySt3,"I feel like I'll faint from exhaustion I don't think I can go further Although I have a lot taken away from me, ayy This is my last time walking this way Don't come to comfort me now I'm still on my way",MANIAC
66,LonelySt4,"Every day and night I'm walking (Walking) It's darker when you walk alone at night I'm lonely but I'm the lone king (Lone king) I'll pull out the sword and draw my true own path Towards the sunset but I'm blue I can't see it, even with the moon I'm still astray, I'm still astray, ayy, ayy",MANIAC
67,WaitingForUs1,I'm running in the darkened time I want to see you The light at the end of the winter is coming closer Let's hang in there for just one more day You and I,MANIAC
68,WaitingForUs2,It's blooming It's blowing I missed seeing you Feeling alive I'll be waiting For the day in which the petals fall,MANIAC
69,WaitingForUs3,I wonder if the cold days were difficult Do you think I don't know how you felt? Ah You were the light in the shade Reach out so I can hold your hand,MANIAC
70,WaitingForUs4,"'Cause I'm right here, waiting for us At times, I was afraid I didn't think you'd ever come again So I'll tightly hold your hands No matter what moment comes I won't let you go",MANIAC
71,WaitingForUs5,"At the end of a long, long wait The cold air has ended (Ah-ah-ah) And my heart that was frozen melts with your warmth I'll melt your frozen heart too",MANIAC
72,Freeze1,"Eat breakfast, unfreeze Eat lunch, unfreeze Eat dinner, unfreeze I feel spiritless even if I eat three meals a day The day is just passing by It's cooling after burning hot Restrictions, regulations, rules Just sweep away the broken atmosphere, ooh",MANIAC
73,Freeze2,"I do whatever you want every single day I work on whatever I can get my hands on I only put what's mine in my goals Blow the rest away by the hurricane You can't do anything done by just looking around Time just ticking by A colt freed from it's reins, a bully with a screw loose I'm on my way out right before that point",MANIAC
74,Freeze3,"Step out, the way I want Move out, everyone's movin' the way they feel There's no time to wait A huge iceberg obstruct in front of me There's no time to melt it, break it down Even If I slipped and fell On this sheet of ice, woah-oh-oh I'll just shake it off and tap-tap my shoulders And stand back up With a loud cheer ahead",MANIAC
75,Freeze4,"Put your hands up to your head (Put your hands up) Feel the sense of freedom (Y'all turn up) Water gun Run before the tagger comes Ice freeze, ice freeze",MANIAC
76,Freeze5,"Free me, free me from the things that kept me in captive Pressure, back off, what are you saying? You're so into it It's like a prison break, unlock it all, freeze! Give them the rules, break it all down, bang, bang (Ooh) I ran out and took off my handcuffs Freeze! Hit my frozen body",MANIAC
77,Freeze6,"Nothing else in my sight now Like this, I'll be the champion with victory in one hand They're all just freaked out Because of my obvious ease Stop right there, keep trying, if we don't succeed I'll keep rocking until I overcome it all (Ah)",MANIAC
78,Freeze7,"I'm crossing the line, I can't stand it anymore One more time, I break the ice The words I take control, and just let it out Once again, I break the ice Run, even if I'm on ice, let it go Burn it up, raise the fire in your heart right now *I'm getting out now* (Burn up, run more unhesitantly)",MANIAC
79,Case1431,"A new case, an unforgettable case I'm falling for your fatal attraction You, who keeps setting me on fire Are a question with an unknown source, homework that needs to be done Can I be your boyfriend? I've never faked my attitude towards you, no cap It's full of stuff I want to tell you, my case There are no words that describe the perfection",MAXIDENT
80,Case1432,"You got me losing patience It's an uncontrollable emotion You're on my mind, I never feel alright Numerous emotions collide, what's going on Rolling in the deep inside my head You got me bad Letting my guard down Swiftly moving towards you, on my way (Oh)",MAXIDENT
81,Case1433,"Why do I keep getting attracted? I'm drawn to you like a magnet (Oh) I cannot explain this reaction The only thing I can say is one-four-three Why do I keep getting attracted? Only you're on my mind (Oh) I cannot explain this emotion One-four-three, I love you",MAXIDENT
82,Case1434,"A-B-C-D-E-F-G I wanna send my code to you Eight letters is all it takes And I'm gonna let you know, oh Stacked high for everyone except you, my barricade (Barricade) You can call me anything, code name (Call me, baby) Even if I'm greedy, I want to be your soulmate (Woo) My feelings are growing, upgrade 'cause",MAXIDENT
83,Case1435,"Heartbeat, all my Conditions are in crisis (Crisis) The way you look ain't no false My inner feelings again repeat (Repeat)",MAXIDENT
84,Case1436,"Walking next to you but I'm falling I'm falling deeper, I'm drawn to you You're pulling me deeper and deeper I try to get out but I can't stop Can I be the one? Yeah, I'll be the one I recklessly dare to use cringy expressions My head is numb, cut away the emotionless thoughts *Moving, I'm on my way*",MAXIDENT
85,Case1437,"I'm gonna let you know (Know) That I'm just gonna go (Go) And hold you so I'm never letting go I'm gonna let you know (Know) That I'm just gonna go (Just go) Yeah, I'm heading towards you right now, like I'm",MAXIDENT
86,Chill1,"A fight that never ceases, like trying to cut water with a knife It's not that we didn't fit right from the start We're just too different",MAXIDENT
87,Chill2,"Was the idea that we thought, wrong in the end? Even if we hold hands, we see different places We keep leading the flow of our conversation in different directions All our feelings In our loveless conversation It's nothing more than gum stuck in an empty trash can",MAXIDENT
88,Chill3,"The hand of the clock goes ti-ki-tok In silence, there is awkwardness in the air Your eyes are avoiding me for many reasons With an almost empty heart When I say ""I'll get out of your way"" Rather than feeling sad, I rejoice, yeah Yes, you, that's you, thank you, right now Yes we",MAXIDENT
89,Chill4,"Yeah, we gonna break, break, break together Burning each other's precious time Even if we throw everything away now, there will be no regrets We are just letting our frustrated hearts, chill out ",MAXIDENT
90,Chill5,"(Yes, sir) Now you can't stop, stop, stop caring about me Get yourself out of my memories from this point onwards Yes, throw it all away so we won't have any regrets anymore Let your frustrated heart, chill out, for now",MAXIDENT
91,Chill6,"(I mean, like ah) My feelings have cooled down faster and faster Let's wash it off for a new beginning together, start now Just sitting and thinking over, putting off our decision Anyway, the chance of our relationship continuing is zero Yeah, let's erase everything Even if you get angry at me for asking ""Is this the right thing to do?"" I know you will erase everything too Why are you getting all worked up?",MAXIDENT
92,Chill7,"Why should it matter? Just chill out Let the things inside out Wash it all off Let's blow it all up, spit it all out today All the words you haven't even said Now we are a pair of actors killing each other So let's stop acting and just",MAXIDENT
93,Superboard1,"Yeah, climb aboard, two feet first jump in On this board, chins resting in our hands, pop it (Pow, pow) Even if we go halfway, everyone looks scared I don't want to walk anymore, we're swerving up to the sky",MAXIDENT
94,Superboard2,"Knock yourself out, kid, working hard? sure Hesitate and that will get taken away too Oh, yeah, running, stupid, dummy, funny Ha, it's not even funny, what's a little thing like you doing?",MAXIDENT
95,Superboard3,"Flying, jumping like super board (Zoom) Flying, jumping like super board (Zoom) Flying, jumping like super board (Zoom) Fly (Neun)",MAXIDENT
96,Superboard4,"Fly high into the sky Not gonna stop until the day I die Rising up to the sun, yeah You can call it my heart I won't change, oh The day I was set aflame, oh-oh If you chase us, you will suffer in vain The dog that chases the chicken eventually Ends up just looking at the roof (Neun)",MAXIDENT
97,Superboard5,"A hundred sweet potatoes (one) piled up on the backed up road I’m frustrated, I’ll just fly away Your delivery? It'll be late I am delivering myself to my dreams Rocket Delivery, this is my title (zoom)",MAXIDENT
98,Superboard6,"A hoverboard under my feet, you are tripping over your words I am an emergency, everyone is looking up, and I am just flying The pleasure, the mood I am flying is loco The air above is sweet like choco",MAXIDENT
99,Superboard7,"Take me on and you'll end up flat on the ground And I'll be holding my stomach laughing On top of the running guy, we're the flying guys Glaring at us won't change anything",MAXIDENT
100,Superboard8,"A thunderstorm in the clear sky We are stirring up a raging storm If you chase us, you will suffer in vain The dog that chases the chicken eventually Ends up just looking at the roof (Neun)",MAXIDENT
101,Superboard9,"Go high, fly high Na-na-na-na-na-na (Nyaun) Go high, fly high Na-na-na-na-na-na (Nyaun)",MAXIDENT
102,Circus1,"Everyone is buzzing, cheering me on megaphone (Megaphone) Without breaking change the flow, manner mode (Manner mode) It's a long, long, long, long road It's a historical show, come and do it like this (Ni-ni, ni-ni, ni-ni, ni-ni)",MAXIDENT
103,Circus2,"Bouncing like a bouncy ball There's no floor below, so jump and jump Let's get it, with you, elephants, giraffes Between us, let's get it (Bring out the fire)",MAXIDENT
104,Circus3,"Ring, ring, ring, juggling, we gon' burn this down A pierrot rockstar Ring-ding-ding-di-gi-ding, we gon' run this town We gon' run this town",MAXIDENT
105,Circus4,"Ring, ring, ring, juggling, we gon' burn this down The show starts with a bang, bang, bang From day to night, play, play, play Take the reins, ready Never-ending, 'round and 'round and 'round and 'round The show must go on Let's start a fire from small sparks Focus, stand up This is just the beginning, where are we going?",MAXIDENT
106,Circus5,"Well, welcome to the zone Feelin' good right now, feelin' good right now Your body starts moving too Feelin' good right now, feelin' good right now",MAXIDENT
107,Circus6,"Eyes and ears have already been captivated Like being trapped in your own mind So welcome to my home Feelin' good right now, feelin' good right now (Ah yeah)",MAXIDENT
108,Circus7,"May I have your attention, my ladies and gentlemen? It's the start of the second act Ain't nobody can't do it like this Let's just start it, bow our head and say hello Bam-pa-ra-ra-ra Blow the trumpet, fire the cannons (pop) Na-na- na-na-na-na The King's on the rope (Bring out the fire)",MAXIDENT
109,Circus8,"Now this is what you waiting for Oh yeah As if possessed by us, the cheers grow louder Oh, oh, there's no cheating Oh, oh, I can't see any flaws Head with no time to rest Everyone shouts for an infinite encore",MAXIDENT
110,TortiseAndHare1,"Go, go, go live! There's no need to go fast fast fast, just take it slow Even if time wants to fly by I don't care, so what? My time and my tempo are more valuable than gold I won't follow time, you can just follow me",INLIFE
111,TortiseAndHare2,"The tortoise said ""Faster! Faster! Faster! Faster!"" The hare said ""Too slow, too slow, too slow, too slow You're just too slow, you're driving me crazy… (I'm out of breath, I should take a break…)"" And because of that the tortoise won in the end!",INLIFE
112,TortiseAndHare3,"I don't want to rush, I just want to mess around I want to just mess around like Nolbu I don't want to rush, I just want to mess around I want to have fun and mess around",INLIFE
113,TortiseAndHare4,"To the end of this struggle I go I know, you know, we know, we know Following the flow of time I know, you know, we know, we know To the end of this struggle I go I know, you know, we know, Lee Know Following the flow of time I know, you know, we know, we know",INLIFE
114,TortiseAndHare5,"We said to hurry, hurry up why are you still sitting around? Why are you so slow, it's driving me crazy Run all the way there, if you're even 10 seconds, 1 second late… Well, I don't know what will happen, but being quicker is better!",INLIFE
115,TortiseAndHare6,"Slow it down, everyone, everyone slow it down Slow down all the wheels in your head like a monorail Even if a snail looses its shell its still a slug Why're you in such a rush? Even if you crawl along slowly it's all right",INLIFE
116,TortiseAndHare7,"Honestly, even if you feel rushed, as long as it's not urgent I know you honestly think it's all tiresome, just take it slow Yeah, you can go ahead and take a plane I'm going to take the Mugunghwa and travel by train",INLIFE
117,TortiseAndHare8,"Living my pace now now now Living my pace now now now I'm gonna go, go in my own time, I take it slow",INLIFE
118,TortiseAndHare9,"Take it easy, take it easy, they say the world is round Even if we rush we'll end up right back in the same place Blue, blue, the sky is clear blue We take our time looking up to the blue sky and spread our music",INLIFE
119,BackDoor1,"Move over, and here I come Last time was just a warm-up, umm This time, it's for real party (Oh) Stay out of this if you can't handle it (Hol' up), yeah Gosh, you must feel tight Let it all go and enjoy yourself to the full, everyone Turn off the light and light up your eyes all night Stop hiding your excitement and let it all out (Oh)",INLIFE
120,BackDoor2,"I'll walk out that door to see everything I wanted I can hear the music playing on the other side of the door I shout my lungs out, I don't have time to hesitate Hey Come inside now Hey Authorized personnel only here back door Authorized personnel only here back door",INLIFE
121,BackDoor3,"Ayy, I guess this is it, it's time to think ready to go This body suffered enough from having a bad owner I'll make it up to you, so follow follow me back door It's okay since it's not SECOM The sound that I'm hearing is a fanfare Let's play all night long, what I need is more caffeine Come if you want, the passcode is Open Sesame",INLIFE
122,BackDoor4,"Everything looks different, and at this moment Everything turns out to be perfect I'm watching my fantasy unfold before my eyes I shout my lungs out, I don't have time to hesitate",INLIFE
123,BackDoor5,"Lights out Yeah it is getting more glamorous as time passes Yeah, we gon' do it right now, do it right now, baby Come to your senses from now on Look at this world and keep it in your eyes Your heart pounds, rum, pum, pum, pum",INLIFE
124,BackDoor6,"Make 'em say, ""Wow, wow, wow,"" yeah Bring 'em all, all, all, ayy Sing along, along, along, hey Three, two, one Authorized personnel only here back door If you want to be authorized (Knock, knock)",INLIFE
125,BackDoor7,"The bell rings and we go crazy Today, we do our thang again The bell rings and we go crazy Tonight, I bark again, ayy The bell rings and we go crazy Today, we do our thang again The bell rings and we go crazy",INLIFE
126,BMe1,"I gotta free me, far away from you The farther I get the closer I am to no worries Nobody can stop me, I let you go with no fears Gotta free me, no worries Now I'm going to leave you and be me, oh-oh I had worn myself out digging through my own thoughts And now I'm going to leave you and be me, oh, oh (The more I let go of you the higher I fly)",INLIFE
127,BMe2,"You kept leaving me lost, now I say goodbye We won't come across each other, no second time I was in pain when I tried to search for you When I look back now I realize you weren't even there, yeah yeah Maybe, I'm not ready (Ready)",INLIFE
128,BMe3,I felt so close to catching you every day Now I run away (Now I run away) Even further away (Even further away) To somewhere you won't be,INLIFE
129,BMe4,"A cold gaze, a gesture to send you away The story I only dreamed of ended as a just a scribble A pointless conclusion I wrote out choked by this obsession We were building a sand castle in a field of snow",INLIFE
130,BMe5,So now we leave each other for our own sakes When I had you it hurt but I was too anxious to let you go I was too anxious and short-sighted in my dreary reality I grasp you with my fingertips and squeeze you tight Before throwing you off somewhere far away,INLIFE
131,BMe6,"I feel carefree, now I'mma be me The bit of me that regretted and held on is gone now I turn my back to your heated light Just let me go",INLIFE
132,Any1,"Are you happy? (No) Do you like that? (No) Do you know what you like? (No) But when they ask what exactly it is you want, it's a lot",INLIFE
133,Any2,"I want so many things but nothing goes as I want I'm doing what I wanted but it doesn't go as I want I've thought of so many things but it doesn't go as I thought Nothing goes as I said, as I wanted, as I thought",INLIFE
134,Any3,"Blurry lines (Yeah, yeah, yeah) So many, so many, any-anything, no, not that Blurry lines (Yeah, yeah, yeah) So many, so many, any-anything, no, not that You don't want this or that What do you want, baby? What do you want?",INLIFE
135,Any4,There's so many different things but nothing feels right There's so many different things but I drop it all I end up dropping it all anyway,INLIFE
